"","ResponseId","age","gender","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q4_21","Q4_22","Q4_23","Q4_24","Q4_25","Q4_26","Q4_27","Q4_28","Q4_29","Q4_30","Q4_31","Q4_32","Q4_33","Q4_34","Q4_35","Q4_36","Q4_37","Q4_38","Q4_39","Q4_40","Q4_41","Q4_42","Q4_43","Q4_44","Q4_45","Q4_46","Q4_47","Q4_48","Q4_49","Q4_50","Q4_51","Q4_52","Q4_53","Q4_54","Q4_55","Q4_56","Q4_57","Q4_58","Q4_59","Q4_60"
"652","R_2q1A3doPiInCMfG",19,"man",5,5,2,2,4,4,5,4,3,3,2,1,2,5,2,2,1,4,2,2,3,1,4,2,4,2,5,2,1,4,4,4,3,4,4,4,1,3,5,2,4,4,4,2,5,4,2,1,2,4,3,5,5,4,4,4,5,4,4,1
"653","R_2YcgAubJEWUkDrD",18,"man",5,5,4,2,5,3,5,4,4,2,1,4,4,4,2,1,1,4,1,4,2,2,5,4,1,2,4,3,4,4,1,4,4,5,5,3,1,3,3,4,5,5,5,2,1,5,1,1,1,4,4,5,2,1,4,5,3,5,2,3
"654","R_3JF1jido8v4fX44",19,"prefer not to say",5,4,5,1,5,5,3,3,2,5,2,2,1,4,3,1,5,5,5,4,4,2,5,2,1,4,5,5,2,2,1,3,5,5,5,2,4,2,4,4,4,1,2,2,1,5,1,1,1,1,2,4,2,4,2,4,4,5,3,5
"655","R_20YcCMmVt5ptLO7",52,"man",5,4,1,4,4,4,5,1,4,4,1,4,5,1,4,1,1,5,2,1,4,1,1,5,2,2,4,1,4,1,1,5,5,2,3,2,1,5,2,2,4,4,5,4,1,5,2,1,2,3,2,5,5,1,1,4,3,4,4,3
"656","R_3fUfuOuPKBc6wtg",18,"woman",5,5,4,2,2,1,5,4,2,4,2,4,4,4,2,3,1,2,4,5,1,4,4,1,1,2,2,4,1,5,4,5,1,5,5,5,2,2,4,5,3,4,5,2,4,3,1,1,1,2,4,5,2,4,1,4,1,3,4,2
"657","R_1E71wyUnj1CY1uh",19,"man",2,5,1,1,3,2,5,4,3,4,4,4,5,5,3,4,5,5,4,5,4,3,4,2,1,5,5,4,2,3,5,5,2,5,4,2,4,3,5,5,4,4,4,2,2,4,2,3,1,4,2,5,3,4,3,4,2,5,5,3
"658","R_2v7YJ5x0dLRnK1A",18,"man",4,4,1,3,2,4,5,2,4,5,2,3,5,2,4,3,5,4,4,5,4,1,2,4,1,1,5,2,3,2,4,2,4,4,4,2,2,4,4,5,4,3,5,4,2,4,1,2,2,1,3,5,4,4,2,4,4,4,5,2
"659","R_3iD1xeavYPmIPR6",19,"man",5,5,2,3,1,4,5,4,4,5,1,4,4,5,4,3,2,5,4,5,4,1,4,4,1,1,5,5,2,1,4,1,4,5,5,4,2,4,5,5,5,4,4,2,2,5,4,2,1,1,4,5,4,3,1,4,5,5,5,4
"660","R_3iIsQZRIYt3o3cR",18,"man",5,5,2,2,4,3,5,2,2,3,3,3,4,4,5,3,2,5,4,2,4,1,4,4,3,2,3,2,3,4,3,5,4,5,5,3,1,4,4,5,3,3,3,2,2,4,3,2,1,3,3,3,5,4,2,3,3,3,4,4
"661","R_1JJZWcbHPo2hnLW",18,"man",4,4,3,3,4,1,5,3,3,5,4,3,5,3,4,3,1,3,4,4,1,1,5,3,2,3,5,4,2,2,4,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,1,2,1,3,3,4,4,4,2,4,4,4,3,4
"662","R_syPrOFq82ndxHyN",20,"man",4,5,1,2,3,4,5,2,4,5,2,2,4,4,4,2,5,4,4,5,4,1,4,2,1,3,4,1,2,2,4,4,5,5,5,2,2,4,4,5,4,4,5,4,1,4,1,1,1,2,2,4,5,2,2,5,3,2,4,3
"663","R_1LHYIx7nZ3slD0U",22,"woman",3,3,2,3,1,3,5,3,2,5,3,2,2,5,4,3,2,4,4,4,4,2,4,1,2,3,3,4,1,2,4,3,4,5,3,3,4,3,5,4,3,4,4,2,4,3,4,1,1,2,2,4,3,5,3,3,2,4,4,4
"664","R_2RVvcUfZNoBbwL4",19,"man",2,4,5,1,1,1,4,2,1,4,2,2,2,5,4,5,1,1,4,5,1,2,5,2,1,4,5,5,1,1,5,4,1,5,5,4,2,2,5,4,2,4,1,4,1,2,1,5,1,1,4,5,4,5,1,4,4,4,4,4
"665","R_3JrNTmto1g7wDFP",21,"non-binary",2,4,3,2,2,1,5,5,3,5,1,1,5,2,5,5,3,3,5,4,1,2,5,2,1,4,5,2,1,2,5,4,4,5,3,5,2,3,5,4,4,2,5,5,4,2,4,1,1,2,4,5,4,5,3,4,4,4,1,4
"666","R_2yqrtMwp8l3hgvY",18,"woman",5,4,1,5,5,5,3,1,5,4,2,4,5,4,2,1,5,5,5,4,5,5,3,5,1,1,4,4,5,5,1,5,5,4,4,2,5,4,2,5,5,2,5,4,4,5,4,1,4,3,1,5,5,1,2,5,2,2,1,5
"667","R_2TyGKxodT8Jyfg7",20,"non-binary",4,5,3,2,1,4,5,4,4,5,2,3,3,4,5,4,1,2,4,5,2,1,3,4,4,4,5,2,2,5,5,4,4,5,4,2,2,3,3,4,4,4,3,2,1,4,1,1,2,4,5,5,3,2,2,4,3,2,4,4
"668","R_37NUkkGR9lLlXOh",18,"woman",3,5,5,4,3,2,5,4,4,4,2,4,2,2,4,4,2,2,2,4,3,2,4,4,4,4,4,5,4,3,4,4,2,2,4,2,3,2,2,2,3,3,2,4,5,4,2,3,2,4,4,4,2,2,3,4,4,5,2,3
"669","R_OGPtq8FsdDqXN2p",78,"man",5,5,1,4,3,3,5,1,4,4,2,2,4,3,2,4,1,5,3,4,4,1,2,4,5,1,5,4,5,3,3,5,5,1,5,3,1,5,3,2,5,3,4,4,4,2,1,1,3,2,2,5,4,1,5,4,5,2,3,2
"670","R_Rq6I1ZY7I3qSLE5",18,"woman",4,4,4,3,4,3,5,4,4,4,2,3,4,4,3,4,1,3,4,4,3,1,4,3,4,3,4,4,3,4,4,4,3,3,4,3,2,4,4,3,4,3,4,4,1,3,2,4,2,4,4,4,4,4,3,3,4,3,4,3
"671","R_1K7Jn0EH6gZy494",19,"man",4,2,4,3,1,2,4,4,5,4,1,2,2,4,4,2,5,3,4,4,4,1,2,5,2,4,2,4,2,2,4,2,2,4,5,4,1,4,1,1,4,5,4,4,1,5,2,1,1,1,1,4,5,1,2,4,3,4,5,4
"672","R_2aF6QmbNWRPpZlf",47,"man",4,5,1,4,3,4,4,1,4,4,1,3,4,4,4,2,1,5,4,3,4,3,1,4,2,4,4,3,2,2,4,5,5,4,4,2,2,5,3,4,2,4,5,2,1,4,2,1,1,3,2,5,5,3,3,4,5,3,4,5
"673","R_1GNb9cA2RJuepLb",16,"man",4,4,2,2,4,1,5,4,4,3,2,3,4,4,2,4,1,4,2,4,1,2,4,4,2,3,5,2,3,3,4,4,4,5,4,4,2,4,1,4,4,2,4,2,3,4,2,1,2,4,4,5,2,2,4,4,4,2,4,2
"674","R_2tzjMi4scjzUM5t",21,"non-binary",2,5,2,1,1,2,5,2,3,5,1,1,4,4,4,3,5,2,5,5,2,1,3,2,2,3,5,1,2,1,4,4,4,5,5,3,2,4,4,5,4,1,4,1,1,4,1,3,1,1,3,4,4,4,1,4,5,3,3,5
"675","R_1q9ebESO7Uo4sxW",25,"woman",2,2,5,1,1,2,4,4,2,5,2,4,4,4,4,5,3,1,5,4,2,2,5,1,2,4,2,4,1,1,5,4,1,5,5,4,4,3,4,4,1,4,2,4,1,3,4,5,1,1,2,5,3,5,1,2,3,5,2,5
"676","R_3QW5irsRb5EGpGd",18,"man",4,5,1,2,3,4,5,3,2,4,2,2,1,1,4,4,1,4,5,3,4,3,5,1,3,3,4,3,1,3,5,5,4,5,4,4,3,4,4,4,1,5,4,3,3,4,3,2,1,3,5,5,1,4,3,3,3,4,5,3
"677","R_D91YeFakCzGUddD",29,"woman",4,3,4,4,4,3,4,4,4,4,2,4,4,4,4,1,3,4,4,3,4,2,5,2,3,3,5,5,2,4,4,4,2,4,4,2,4,4,4,3,5,4,3,2,3,5,4,4,2,4,4,5,3,4,2,3,4,4,4,2
"678","R_2Ph4uwgPAL9pNoe",16,"man",3,4,4,1,2,2,4,4,1,4,2,4,3,4,4,2,5,1,4,5,4,4,5,2,5,3,1,4,1,1,4,4,3,5,5,3,4,2,4,5,4,4,3,2,1,3,4,3,5,3,4,5,1,5,2,5,2,5,5,5
"679","R_DTWhBwsEVzYg3OV",24,"woman",2,4,2,4,3,1,5,5,5,5,5,2,4,4,3,5,4,3,4,3,1,3,5,1,1,5,2,2,5,1,5,3,2,2,3,4,1,4,5,5,1,5,3,5,1,1,5,2,1,3,2,5,3,5,1,1,1,1,1,5
"680","R_rkYHw6asOlUHbyh",21,"woman",4,5,5,5,3,4,5,5,5,5,1,3,4,3,4,4,1,3,2,5,3,1,5,5,1,4,5,5,3,1,4,4,1,1,5,2,4,3,4,4,4,3,5,5,2,1,1,4,4,1,3,5,1,3,1,4,4,4,1,4
"681","R_2ZBxT4mfURakgSw",18,"woman",5,5,4,4,2,5,4,4,4,5,2,4,4,2,4,4,2,4,4,4,5,3,4,5,1,1,4,4,5,1,4,4,4,2,5,2,4,4,4,4,2,3,4,4,1,4,4,4,3,3,1,4,4,4,2,4,4,4,2,4
"682","R_2AMhtCAiegdqCFc",27,"woman",4,4,4,1,1,2,4,4,2,4,2,3,2,4,2,5,3,5,4,5,1,4,5,3,2,4,4,5,3,2,5,3,2,4,4,4,4,4,4,2,3,4,4,3,5,2,4,2,1,2,5,4,5,4,2,3,4,4,4,3
"683","R_31cND2fDbIj7dfW",19,"non-binary",1,4,2,1,3,2,5,4,2,5,1,2,4,2,5,5,1,5,2,5,5,1,2,2,1,5,5,4,1,1,5,4,4,5,1,1,1,5,5,5,3,2,4,1,1,4,3,4,1,1,4,5,5,5,1,5,4,1,5,5
"684","R_3D7v5M2OuydOg8E",20,"woman",4,5,5,2,4,2,4,4,3,5,2,4,4,4,3,3,2,2,3,1,4,1,5,2,2,3,5,4,2,3,4,3,1,2,1,4,2,1,4,3,4,1,4,2,4,5,2,5,2,5,3,5,2,4,3,4,5,2,4,4
"685","R_xbchrHsyfqwziQV",20,"non-binary",2,5,5,2,2,2,5,4,3,5,3,2,3,3,4,5,1,1,2,4,2,1,5,4,1,2,5,4,4,2,5,4,1,5,5,4,3,1,4,5,2,2,3,3,1,3,2,5,2,3,4,4,1,4,1,2,3,4,2,4
"686","R_1C8Etx0gm7LJQRQ",23,"prefer not to say",1,4,5,1,2,2,4,5,1,5,2,4,4,5,4,5,2,2,4,4,1,4,5,1,2,5,4,5,1,1,5,4,2,5,5,4,5,2,5,4,4,5,2,2,1,2,5,1,1,2,5,4,2,5,2,4,1,5,5,4
"687","R_3oAz8tO04BmKLNM",18,"woman",5,5,4,5,1,2,5,4,5,5,1,1,2,2,4,2,1,4,4,2,2,1,4,4,1,4,5,3,4,1,3,5,4,2,4,2,1,4,1,5,4,1,3,4,1,4,1,3,2,4,4,5,3,1,1,5,4,2,1,5
"688","R_25FsHCJw7Lj8MCk",19,"non-binary",2,5,5,4,4,1,5,5,2,4,1,4,4,4,4,5,5,1,4,5,1,4,5,2,3,5,5,4,4,4,5,4,1,5,4,3,3,3,4,3,1,3,4,5,5,2,2,4,1,3,5,5,1,5,3,2,4,4,3,2
"689","R_1liSrIqy0d8e0Yy",22,"man",5,4,5,1,2,5,4,4,2,5,2,4,2,5,5,1,2,4,5,4,4,4,5,4,1,2,2,4,2,1,2,5,2,5,5,1,4,3,4,5,5,5,4,1,1,5,2,4,1,2,2,4,2,5,2,5,4,5,4,4
"690","R_2ypi1WczZ04n53l",19,"man",4,5,4,1,2,1,5,4,1,5,5,1,4,5,3,3,4,4,4,4,1,1,5,2,3,4,5,3,1,1,5,5,3,5,3,3,1,2,5,5,5,4,5,2,2,5,1,3,1,2,5,5,3,4,3,5,4,5,4,4
"691","R_2wM6CeO4RgLJlKc",20,"woman",4,5,4,2,2,3,5,4,4,5,2,4,3,5,4,3,2,4,4,4,2,2,5,2,1,4,4,4,4,2,4,4,4,4,4,3,3,3,4,4,4,4,5,2,2,3,3,2,2,3,4,4,3,4,2,4,4,4,4,3
"692","R_12G4bu2GJ6FveHT",21,"man",4,5,1,1,3,2,5,2,1,4,4,4,4,5,4,5,2,5,4,5,2,4,5,1,5,5,4,4,1,2,5,5,5,5,5,2,4,5,5,4,4,4,5,1,4,4,4,1,1,2,4,5,5,5,3,3,1,4,5,4
"693","R_2uBuJ509UFaE4Ba",18,"woman",1,2,3,1,2,2,4,4,2,4,4,3,2,1,3,2,2,5,4,3,2,1,4,1,2,5,2,2,3,2,5,3,4,5,4,4,4,1,5,2,1,4,4,5,1,1,4,2,1,2,3,4,4,5,2,2,2,2,1,3
"694","R_UYC0E2rdjNA2D6x",19,"man",4,4,1,2,5,5,4,2,4,5,1,3,4,4,4,4,2,4,4,5,5,4,4,4,1,3,2,4,2,1,4,2,4,4,5,1,4,5,3,5,4,5,5,4,1,4,3,1,2,2,2,3,4,3,5,5,2,2,4,4
"695","R_1Ny3Og6tbjc05jL",23,"woman",4,4,5,4,1,3,5,4,4,5,4,4,5,2,5,4,2,4,4,5,4,1,5,5,1,4,5,3,5,1,4,5,2,5,4,2,1,5,4,5,2,4,4,5,1,4,4,3,2,1,4,5,5,4,1,4,2,2,1,5
"696","R_vcrhrTnprUxHS6Z",18,"non-binary",3,4,4,3,2,2,5,4,5,4,4,2,3,3,2,4,1,2,4,4,1,3,5,1,4,4,2,4,3,4,4,5,2,5,4,5,2,3,2,3,1,4,4,2,3,1,1,3,1,2,5,5,4,1,2,4,4,4,3,1
"697","R_3RgScnlQPbcsVYA",23,"man",4,3,4,2,2,4,4,4,4,4,2,4,4,5,4,3,4,3,3,4,4,2,5,3,4,4,2,4,2,2,4,4,2,5,4,1,3,5,5,4,3,5,5,3,2,5,3,4,1,5,2,4,2,5,5,4,2,4,4,3
"698","R_2dJRY15wFBHNdpx",21,"man",4,4,3,3,2,4,5,4,4,4,2,3,4,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,2,2,5,4,4,4,5,3,3,4,2,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,2,4,4,2,4,3
"699","R_2CvSGJnpfAwaA8q",19,"non-binary",4,5,3,2,3,3,5,3,2,4,1,4,4,5,3,3,1,5,4,5,3,3,5,2,4,5,4,2,1,3,4,4,2,5,4,5,3,4,5,3,3,4,4,2,1,4,3,4,1,2,3,5,4,4,3,5,2,3,5,4
"700","R_a98TjVkZHJvMOYx",20,"woman",1,5,5,1,2,2,5,5,1,4,4,2,2,4,3,4,1,4,4,3,2,1,5,1,2,4,4,4,1,3,5,4,2,5,4,4,4,2,4,5,2,4,2,2,2,5,2,3,1,2,4,4,3,4,3,2,4,4,5,3
"701","R_usnv8R6q7PsyCsh",19,"non-binary",5,5,5,5,2,4,4,5,5,5,2,4,4,5,5,5,2,3,5,5,4,4,5,5,1,5,3,5,1,2,4,4,1,5,5,2,4,1,5,5,2,5,4,2,1,4,4,5,1,1,2,5,1,5,2,5,4,5,5,5
"702","R_1OZyeX1pjLYavYt",18,"man",5,5,4,5,4,4,5,4,5,5,1,2,5,4,3,2,1,2,4,4,5,4,3,5,1,3,4,2,2,4,1,4,2,3,4,2,4,4,4,3,5,4,5,1,5,5,1,5,2,3,2,5,3,3,3,5,4,4,4,2
"703","R_1BRvFkItiF7jrL8",19,"man",2,4,2,4,1,4,4,4,2,4,1,1,4,2,5,4,1,3,4,5,2,2,4,4,2,2,4,4,2,1,5,4,2,4,5,2,1,4,4,4,4,2,3,4,1,3,2,2,2,1,2,4,2,2,4,3,4,2,2,4
"704","R_30cLoGnlOpMYTgB",16,"woman",1,2,3,2,4,2,5,4,1,4,4,4,2,4,4,5,2,4,4,4,2,4,2,2,2,4,4,3,1,2,5,2,3,5,4,4,2,4,4,4,2,4,3,1,2,2,4,2,1,4,4,4,4,5,3,2,2,2,3,4
"705","R_yBWL7yxVHT3PPjz",19,"man",5,5,2,4,2,4,2,2,4,4,2,3,4,2,4,3,1,5,2,2,2,2,2,4,4,2,5,4,4,1,4,4,2,4,4,3,1,4,3,2,4,2,5,5,1,4,2,4,2,3,4,5,4,1,2,4,5,2,4,3
"706","R_2TY1H0n1bFFxDU4",19,"man",1,2,4,3,4,1,4,5,2,4,4,4,2,2,3,5,4,3,4,2,1,2,4,1,4,5,2,3,3,4,5,3,1,4,2,4,4,4,5,3,1,4,2,4,4,1,4,2,1,5,5,3,2,5,4,1,2,4,3,2
"707","R_10BkCw7y304I1Dl",27,"woman",3,4,4,2,1,3,4,4,4,5,2,2,3,3,3,4,1,3,4,5,3,2,5,4,1,3,4,4,2,1,4,2,2,4,5,2,2,2,4,5,3,2,3,4,1,2,2,4,2,1,3,4,4,5,2,4,4,4,4,4
"708","R_21c7kSu95SgF2wu",19,"man",2,5,1,1,2,3,5,2,2,4,1,4,5,4,4,5,5,4,4,4,2,1,2,2,2,2,5,1,5,2,5,4,5,5,4,4,1,4,5,5,4,4,5,2,2,4,1,1,1,2,3,5,5,4,2,4,4,2,5,4
"709","R_2zILwanssh53fig",19,"man",5,4,4,5,1,5,5,4,5,5,2,5,5,5,5,3,4,4,4,5,5,4,4,4,1,2,2,4,1,5,1,2,2,2,5,1,5,5,4,5,2,5,4,2,1,5,5,4,2,1,1,4,2,5,1,4,1,4,4,5
"710","R_3NEYfuVsKmwr0gx",18,"man",4,5,3,5,3,3,5,3,2,5,2,3,4,2,3,4,1,3,4,4,2,1,4,4,2,4,5,2,2,2,3,5,2,5,4,3,1,3,4,5,4,4,5,3,3,4,1,3,2,1,3,5,3,4,2,4,4,3,4,3
"711","R_2fBr0nhRFoFvGRj",19,"non-binary",4,4,5,2,4,5,5,5,5,5,2,5,4,5,5,4,4,5,4,5,5,5,5,1,1,4,4,5,4,1,4,2,1,5,4,1,3,4,4,5,4,5,2,4,1,4,3,2,2,1,4,4,4,5,3,4,2,5,4,5
"712","R_2Cq5lbZdtoaKWjk",48,"woman",5,4,1,5,5,3,5,1,5,5,3,2,5,1,3,2,1,5,4,5,5,1,1,3,1,3,4,1,4,4,1,5,5,4,1,2,1,5,4,2,3,2,5,5,2,4,1,1,4,5,1,5,5,4,4,3,4,1,1,3
"713","R_tFlbvL7OpWIZ6Dv",18,"woman",1,3,4,4,2,2,3,5,2,5,4,4,2,4,4,5,2,4,4,5,1,2,4,3,1,4,4,4,4,1,5,3,4,3,5,4,4,2,2,3,2,4,2,3,1,3,4,4,2,2,5,4,1,1,1,2,4,4,2,4
"714","R_10UIcDwdP5FCcCp",22,"woman",5,5,5,4,1,4,4,4,2,5,1,2,4,5,4,2,1,1,5,5,3,3,5,1,1,1,2,5,1,1,1,4,1,4,5,3,2,1,5,5,4,2,2,2,1,4,1,4,2,2,2,3,4,4,1,5,5,5,3,4
"715","R_31ZUqZ2iFIXG6EO",18,"man",5,4,2,3,5,2,5,5,5,4,1,4,5,2,2,1,5,4,4,5,4,4,4,3,1,4,4,4,4,4,4,5,4,4,4,3,3,5,1,4,5,2,5,4,1,5,3,1,3,2,3,4,4,1,3,5,3,3,2,2
"716","R_10ZyoyKhymVbPti",31,"woman",1,5,4,4,1,2,5,4,3,3,3,4,2,3,4,5,1,3,3,5,3,1,5,3,2,5,4,4,3,1,5,4,2,5,5,3,2,3,4,4,1,4,1,4,1,4,2,1,2,2,5,5,5,4,1,3,3,3,3,4
"717","R_2wa7Dt0brHiPE8a",18,"man",2,3,1,5,2,1,4,2,2,5,1,3,4,1,3,5,4,5,4,5,1,1,4,5,1,2,3,2,5,2,5,3,5,4,5,4,2,5,2,5,2,4,4,4,2,2,4,1,2,1,4,4,5,1,1,2,4,2,2,2
"718","R_W2Lh7MOJhloXPc5",18,"woman",4,3,4,5,3,3,4,2,5,5,1,2,4,1,4,2,3,1,3,3,4,5,4,5,1,1,4,3,5,1,2,3,2,1,3,2,3,4,1,5,3,3,4,5,1,5,3,2,4,5,2,4,4,1,3,4,4,5,2,4
"719","R_3sM0fMf4XAbZLfr",19,"woman",1,4,5,1,2,2,5,3,1,5,1,4,5,2,1,5,1,1,5,5,2,3,5,3,1,4,2,5,2,5,5,4,1,5,3,4,3,1,2,4,2,2,4,2,3,1,1,2,2,4,3,4,5,4,5,3,2,2,4,2
"720","R_1H2dbch76Ikq2l4",18,"woman",1,5,5,5,1,1,5,5,2,5,2,5,2,1,4,5,1,4,1,5,1,3,5,2,1,5,5,4,5,1,5,1,4,5,5,5,4,2,2,5,1,2,4,5,3,4,4,2,2,1,5,5,1,3,1,1,5,4,1,5
"721","R_2qqpHtsjboGKuFz",49,"woman",4,4,1,4,4,2,5,2,4,4,4,3,5,4,4,4,1,5,2,4,2,1,2,4,2,3,4,2,5,2,4,4,5,2,3,2,1,4,2,4,3,2,4,4,1,3,2,1,4,3,4,5,5,2,2,3,4,2,1,4
"722","R_22FwyFCE4znijas",26,"man",4,5,2,2,4,1,5,4,3,5,2,2,4,2,3,4,2,4,4,3,3,1,2,4,1,2,2,2,4,4,4,4,4,4,4,2,2,4,4,4,2,1,5,5,3,4,2,2,2,4,4,5,4,3,4,4,5,2,2,2
"723","R_Y3TnMRR16ybKfOF",27,"woman",4,3,2,5,5,2,5,2,4,5,3,4,5,1,4,3,5,4,4,5,3,1,2,5,1,1,3,2,4,2,2,4,5,4,5,2,1,5,2,5,3,5,5,5,2,4,2,2,4,1,3,5,5,2,1,3,2,1,1,4
"724","R_1NsGi0EOWDnnWLu",28,"man",4,5,4,4,1,2,4,3,4,5,1,2,4,5,5,1,1,3,4,5,3,3,5,3,1,2,5,4,1,1,2,4,2,4,5,4,2,4,4,5,5,2,4,1,1,5,1,4,2,1,4,4,2,3,1,5,5,2,5,5
"725","R_2ZIHgYIK8S8ERkM",18,"woman",4,3,2,4,5,2,5,4,4,5,4,4,4,5,4,5,4,5,5,5,4,4,4,2,2,5,5,4,2,2,5,5,2,4,5,4,4,5,4,4,2,4,5,2,1,1,4,5,2,2,2,5,5,2,2,4,4,2,5,2
"726","R_1QFofVwznbOAnwu",18,"non-binary",4,4,5,3,2,2,5,4,4,5,2,1,5,2,3,4,1,2,5,4,3,3,4,5,1,2,5,4,4,4,4,4,1,3,4,4,2,4,2,5,4,5,4,4,2,4,4,2,2,2,3,4,2,4,1,4,4,5,3,4
"727","R_DjijQinDUAqa6NX",18,"woman",1,3,5,1,5,1,2,5,2,4,4,4,2,4,1,5,2,1,4,4,1,4,5,2,3,4,4,4,2,4,5,3,1,4,3,5,4,1,4,1,1,2,1,4,2,1,4,2,2,3,5,2,1,4,1,3,1,5,4,1
"728","R_OOo6j1pDqutwv85",20,"man",1,2,2,4,2,4,5,2,2,5,2,3,3,5,5,5,2,5,4,5,2,4,2,2,1,5,3,4,2,2,5,4,3,4,5,4,2,5,5,5,2,4,5,5,3,1,4,2,2,5,5,5,5,5,1,4,4,2,2,3
"729","R_26fkDLHXPclocfO",18,"man",4,5,2,4,5,1,5,3,4,5,2,2,5,1,4,4,1,3,2,5,2,1,4,5,1,4,4,3,4,2,4,4,4,2,5,2,1,4,1,5,4,4,5,4,1,3,1,2,5,2,4,5,4,1,1,5,5,1,4,4
"730","R_PXrQJCdJbE1B6Gl",18,"man",4,4,4,2,4,4,5,5,4,5,1,4,4,5,4,5,4,5,4,4,4,2,4,2,1,5,2,4,2,2,5,4,5,5,4,4,4,4,5,5,2,4,3,2,2,4,4,1,1,1,4,4,4,4,2,4,3,2,5,3
"731","R_1o5oTDSishhYB0b",18,"man",5,5,5,1,1,5,5,4,4,5,1,4,4,4,5,1,1,2,5,5,2,2,4,3,1,1,4,4,1,1,1,4,1,5,5,1,2,4,4,5,5,4,4,2,1,5,1,4,1,2,1,5,2,4,2,5,4,4,4,5
"732","R_1eDV4KNudxGKaXv",18,"woman",4,5,2,1,1,1,5,3,4,4,1,2,3,4,4,1,1,4,4,5,1,1,4,2,1,4,5,1,2,1,4,4,5,5,5,4,2,4,3,4,5,1,4,2,2,5,1,1,1,1,4,5,5,2,1,5,5,4,4,4
"733","R_1E0bNmaNYCB2dcf",21,"man",4,5,1,2,4,4,5,2,3,4,2,2,5,1,3,5,1,5,4,4,4,2,4,3,2,1,4,2,4,4,4,4,5,5,5,3,3,4,3,5,2,3,5,4,2,2,1,1,1,2,3,5,4,3,2,3,3,1,3,3
"734","R_3RxVgRoVW3BQqVW",19,"woman",2,5,4,1,5,2,5,4,4,4,4,3,4,4,4,5,2,5,5,4,4,1,5,1,3,4,5,2,2,2,5,5,2,4,5,4,2,3,5,5,4,5,4,2,2,3,2,4,1,5,3,5,2,5,2,3,2,4,4,3
"735","R_2bHm4S7Krt4fyuk",20,"man",2,4,5,1,3,1,4,5,2,5,1,4,3,5,2,4,1,5,5,5,2,1,5,1,1,4,4,3,1,3,5,5,2,5,5,2,4,1,5,4,4,4,4,2,2,4,4,4,1,1,5,4,1,4,1,4,4,4,5,1
"736","R_3CWqnJSheukdV8T",19,"woman",1,4,1,4,1,3,4,3,2,5,4,4,3,3,3,2,3,4,5,4,1,2,5,3,2,5,1,4,3,1,5,4,4,4,3,5,4,4,4,4,3,1,5,3,1,5,1,1,1,3,5,4,4,5,1,5,3,3,4,5
"737","R_2dnp5gui3KKBXf6",19,"woman",4,4,4,2,2,4,4,5,4,5,4,4,5,4,4,4,2,4,5,5,4,4,4,1,1,4,4,4,1,2,4,4,2,5,4,4,4,2,5,4,2,4,4,4,2,2,5,3,1,4,5,5,4,5,4,4,5,5,5,3
"738","R_r9jpWhVqi2e23Pb",26,"man",2,4,3,3,4,3,4,4,2,4,4,4,4,4,4,5,4,4,4,4,2,2,4,2,2,3,3,4,2,3,5,4,4,5,4,4,3,3,4,4,3,4,4,4,3,2,4,2,1,2,4,4,5,5,3,3,3,4,4,3
"739","R_2ydOA4C6czbuBAb",18,"man",4,5,2,2,2,4,5,2,4,4,2,4,5,4,4,2,5,4,5,4,4,2,5,4,4,2,2,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,2,2,2,4,2,1,4,5,4,2,2,4,2,4,2,2
"740","R_XZJtzytoUHX5UTD",18,"man",2,5,3,1,3,2,5,4,4,4,2,3,4,3,4,4,1,4,4,5,3,1,4,5,1,5,3,4,2,1,5,5,3,5,5,3,1,4,4,5,1,3,4,3,1,3,1,2,2,1,3,5,5,4,1,3,4,1,5,5
"741","R_2VJQVfRVzOlanko",18,"man",2,4,3,2,5,4,5,4,3,4,2,5,3,2,4,4,5,4,4,5,3,3,5,2,3,4,3,4,2,2,5,4,3,4,5,3,4,2,5,5,3,2,2,3,1,4,3,2,1,2,3,4,2,4,2,4,2,2,4,4
"742","R_27Vk5fdugh53ptB",22,"man",5,5,4,3,1,2,5,2,2,4,1,2,4,5,3,1,1,4,5,5,3,1,5,2,1,1,3,2,1,2,2,5,2,5,5,2,1,4,4,5,5,1,4,1,1,5,1,2,1,1,3,5,3,5,2,5,5,2,5,4
"743","R_BybfFAU4PVIfMbL",22,"man",2,2,5,1,3,5,2,5,1,5,1,5,1,5,5,1,4,5,5,5,4,4,5,3,1,1,2,5,1,1,4,3,1,5,5,1,5,1,5,5,3,5,2,1,1,5,4,5,1,4,1,2,1,5,2,5,1,5,5,5
"744","R_3g1KWjcKVIDNQwA",19,"non-binary",3,5,2,2,1,2,5,5,2,5,1,4,4,5,4,5,1,2,4,5,2,2,5,2,2,5,2,5,2,1,5,2,2,5,5,4,4,2,4,5,2,2,4,2,1,2,1,4,1,2,4,4,4,5,4,4,4,4,5,5
